生年,名前,分類,カテゴリ
2005,後藤啓介,サッカー選手・OB,スポーツ選手系
2003,古川陽介,サッカー選手・OB,スポーツ選手系
2002,角コウシロウ,サッカー選手・OB,スポーツ選手系
2001,久保建英,サッカー選手・OB,スポーツ選手系
2000,池江璃花子,スポーツ選手,スポーツ選手系
1998,広瀬すず,女優,タレント、俳優系
1998,堂安律,サッカー選手・OB,スポーツ選手系
1997,小川航基,サッカー選手・OB,スポーツ選手系
1997,三笘薫,サッカー選手・OB,スポーツ選手系
1997,長谷川唯,サッカー選手・OB,スポーツ選手系
1996,上原力也,サッカー選手・OB,スポーツ選手系
1995,守田英正,サッカー選手・OB,スポーツ選手系
1995,川辺駿,サッカー選手・OB,スポーツ選手系
1994,浅野拓磨,サッカー選手・OB,スポーツ選手系
1993,遠藤航,サッカー選手・OB,スポーツ選手系
1992,宇佐美貴史,サッカー選手・OB,スポーツ選手系
1992,柴崎岳,サッカー選手・OB,スポーツ選手系
1992,ネイマール,サッカー選手・OB,スポーツ選手系
1991,小川大貴,サッカー選手・OB,スポーツ選手系
1991,ペクソンドン,サッカー選手・OB,スポーツ選手系
1990,アダイウトン,サッカー選手・OB,スポーツ選手系
1990,カミンスキー,サッカー選手・OB,スポーツ選手系
1990,大迫勇也,サッカー選手・OB,スポーツ選手系
1989,川又堅碁,サッカー選手・OB,スポーツ選手系
1988,山田大記,サッカー選手・OB,スポーツ選手系
1988,内田篤人,サッカー選手・OB,スポーツ選手系
1988,吉田麻也,サッカー選手・OB,スポーツ選手系
1987,メッシ,サッカー選手・OB,スポーツ選手系
1987,槙野智章,サッカー選手・OB,スポーツ選手系
1986,長友佑都,サッカー選手・OB,スポーツ選手系
1986,本田圭佑,サッカー選手・OB,スポーツ選手系
1986,家長,サッカー選手・OB,スポーツ選手系
1985,クリロナ,サッカー選手・OB,スポーツ選手系
1983,川島永嗣,サッカー選手・OB,スポーツ選手系
1983,今野泰幸,サッカー選手・OB,スポーツ選手系
1982,ジェイ,サッカー選手・OB,スポーツ選手系
1981,前田遼一,サッカー選手・OB,スポーツ選手系
1980,遠藤保仁,サッカー選手・OB,スポーツ選手系
1980,ロナウジーニョ,サッカー選手・OB,スポーツ選手系
1979,稲本潤一,サッカー選手・OB,スポーツ選手系
1979,中田浩二,サッカー選手・OB,スポーツ選手系
1978,中村俊輔,サッカー選手・OB,スポーツ選手系
1977,中田英寿,サッカー選手・OB,スポーツ選手系
1976,福西崇史,サッカー選手・OB,スポーツ選手系
1975,城彰二,サッカー選手・OB,スポーツ選手系
1972,名波浩,サッカー選手・OB,スポーツ選手系
1971,藤田俊哉,サッカー選手・OB,スポーツ選手系
1968,森保一,サッカー選手・OB,スポーツ選手系
1967,三浦知良,サッカー選手・OB,スポーツ選手系
1967,中山雅史,サッカー選手・OB,スポーツ選手系
1958,山本昌邦,サッカー選手・OB,スポーツ選手系
1955,トルシエ,サッカー選手・OB,スポーツ選手系
1953,ジーコ,サッカー選手・OB,スポーツ選手系
1941,オシム,サッカー選手・OB,スポーツ選手系
2004,芦田愛菜,俳優,タレント、俳優系
2004,本田望結,俳優・フィギュアスケート選手,タレント、俳優系
1996,高梨沙羅,スキージャンプ選手,スポーツ選手系
1996,野嶋紗己子,アナウンサー,タレント、俳優系
1994,大谷翔平,野球選手,スポーツ選手系
1994,羽生結弦,フィギュアスケーター,スポーツ選手系
1991,前田敦子,俳優・歌手,タレント、俳優系
1989,マコなり社長,実業家・YouTuber,政治家、実業家系
1988,新垣結衣,俳優,タレント、俳優系
1988,福原愛,元卓球選手,スポーツ選手系
1987,長澤まさみ,俳優,タレント、俳優系
1987,倉科カナ,俳優,タレント、俳優系
1986,北川景子,俳優,タレント、俳優系
1986,石原さとみ,俳優,タレント、俳優系
1985,上戸彩,俳優,タレント、俳優系
1985,綾瀬はるか,俳優,タレント、俳優系
1983,松本潤,俳優・歌手,タレント、俳優系
1983,二宮和也,俳優・歌手,タレント、俳優系
1982,石丸伸二,政治家,政治家、実業家系
1982,中田敦彦,お笑い芸人・YouTuber,タレント、俳優系
1982,相葉雅紀,タレント・歌手,タレント、俳優系
1982,櫻井翔,タレント・歌手,タレント、俳優系
1980,大野智,歌手・タレント,タレント、俳優系
1978,ナイツ塙,お笑い芸人,タレント、俳優系
1977,齋藤元彦,政治家,政治家、実業家系
1976,ひろゆき,実業家・インフルエンサー,政治家、実業家系
1975,前澤友作,実業家,政治家、実業家系
1974,松井秀喜,元野球選手,スポーツ選手系
1973,イチロー,元野球選手,スポーツ選手系
1972,ホリエモン,実業家,政治家、実業家系
1971,イーロン・マスク,実業家,政治家、実業家系
1970,上田晋也,お笑い芸人・司会者,タレント、俳優系
1955,明石家さんま,お笑い芸人・司会者,タレント、俳優系
1946,ドナルド・トランプ,政治家・実業家,政治家、実業家系
1940,板東英二,元プロ野球選手・タレント,タレント、俳優系
1936,長嶋茂雄,元野球選手・監督,スポーツ選手系
1936,福田康夫,政治家,政治家、実業家系
1924,村山富市,政治家,政治家、実業家系
